LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID70368,70368,2,9.918577194213867,19.1385807300985,22.75803272040897,0.0,80.0,80,7.5,1,,219.23076923076923,255.0,0.0,255.0,48450.0,88.75449363192854,0.5843835876054202,1.8221277746533173
ID70370,70370,2,9.80111312866211,17.13456476995923,22.071594476730763,0.0,81.0,81,7.5,1,,221.53846153846155,255.0,0.0,255.0,48960.0,86.29434098892722,0.5410434148121125,1.8026609714697406
ID70372,70372,2,9.472453117370605,20.0635445591816,18.60514841894769,0.0,82.0,82,7.5,1,,233.07692307692307,255.0,0.0,255.0,51510.0,71.64488474754819,0.5495118549511855,2.3074178414439093
ID70374,70374,2,9.611614227294922,24.12987165757647,22.540511556507997,0.0,85.0,85,7.5,1,,244.6153846153846,255.0,0.0,255.0,54060.0,50.515178083257595,0.544115212713127,3.412738733910202
ID70377,70377,2,9.051301956176758,23.627288386359705,15.661969280078882,0.0,86.0,86,7.5,1,,251.53846153846155,255.0,0.0,255.0,55590.0,29.57478372140418,0.5061631467378505,5.716514680454891
ID70381,70381,2,9.600581169128418,19.86318796477438,19.76414301440011,0.0,84.0,84,7.5,1,,240.0,255.0,0.0,255.0,53040.0,60.13620902886743,0.5528972596928821,2.841887648227238
ID70319,70319,2,6.555846691131592,30.53429970002593,33.59051017959821,0.0,48.0,48,7.5,1,,121.15384615384616,0.0,0.0,255.0,26775.0,127.63105153012482,0.16696135387724173,0.2716253744853736
ID70318,70318,2,5.938748836517334,29.911644067583612,34.02344392516511,0.0,47.0,47,7.5,1,,120.0,0.0,0.0,255.0,26520.0,127.56816359749153,0.13057442865966645,0.21728408316662887
ID70321,70321,2,9.444957733154297,34.032730722988624,45.40763175353179,0.0,54.0,54,7.5,1,,174.23076923076923,255.0,0.0,255.0,38505.0,118.89680840523421,0.5094854027036237,0.9892076830420508
ID70385,70385,2,10.102301597595215,24.688097702288964,20.70743868168564,0.0,83.0,83,7.5,1,,235.3846153846154,255.0,0.0,255.0,52020.0,68.10394153899541,0.5975794251134644,2.5856456082182704
